,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*,IT2,U*,1*,2*,X*
14,Arsenal (Amateur),Rostov (Amateur),3.24,3.056,2.248,-,-,-,2.088,8,1.744,2.325,0,1.608,-,3.5,-,-,-,-
15,Utrecht (Amateur),Zwolle (Amateur),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Zebry,Grify,-,-,-,-,-,-,1.856,9.5,1.944,-,-,-,1.35,1.5,2.825,1.35,6.5,2.825
17,ART,MED,1.275,4.54,12.8,-,1.16,3.352,2.35,6.5,1.592,1.72,-1+,2.12,1.82,3.5,1.99,1.82,2.5,1.99
0,Internazionale Milano,Bayer 04 Leverkusen,2.07,3.54,3.62,1.32,1.33,1.81,2.005,3,1.84,1.56,0,2.488,2.37,1.5,1.59,2.37,1.5,1.59
1,Manchester United,Copenhagen,1.184,7.2,16,1.03,1.12,5.09,1.79,3,2.07,2.085,-2+,1.78,2,2.5,1.81,2,0.5,1.81
2,Delfino Pescara 1936,Perugia Calcio,2.46,3.02,3.12,1.36,1.38,1.54,1.704,2,2.2,1.736,0,2.144,1.93,1,1.83,1.93,1,1.83
3,Al-Ittihad Al-Sakndary,Zamalek,6.67,3.7,1.54,2.39,1.256,1.09,1.83,2,1.975,1.78,+1-,2.03,1.94,0.5,1.83,1.94,1.5,1.83
4,Finn Harps,St Patrick's Athletic,2.14,3.05,3.81,1.26,1.375,1.7,1.87,2.5,1.97,1.5,0,2.65,1.66,1.5,2.16,1.66,1,2.16
5,Al-Faisaly Amman,Al-Hussein,1.94,2.28,8.63,1.055,1.59,1.815,1.94,3,1.86,3.42,-1+,1.32,3.88,1.5,1.24,3.88,1.5,1.24
6,Al-Jazeera Amman,Aqaba,1.01,21,32,-,-,12.6,1.832,2.5,1.97,1.46,-2+,2.71,3.59,2.5,1.27,3.59,0.5,1.27
7,Wydad Casablanca,Olympique Khouribga,1.38,4.38,8.6,1.056,1.192,2.915,2.21,2.5,1.665,1.69,-1+,2.17,2.12,1.5,1.69,2.12,0.5,1.69
8,Al-Hilal Riyadh,Al-Fateh,1.11,8.55,25,-,1.064,6.38,2.14,3,1.74,2.08,-2+,1.78,2.34,2.5,1.57,2.34,0.5,1.57
9,Al-Wahda Damascus,Al-Majd Damascus,1.13,6.02,17,-,1.09,4.57,2.18,2.5,1.535,1.91,-1.5+,1.76,2.93,1.5,1.33,2.93,0.5,1.33
10,St John Bosco,Tolka Rovers,-,-,-,-,-,-,1.656,6.5,2.15,1.78,+5.5-,2.03,1.73,0.5,2.05,1.73,6,2.05
11,Templeogue United,Wayside Celtic,2.95,2.82,2.66,1.45,1.405,1.375,1.77,3.5,2.05,2.03,0,1.78,1.55,1.5,2.39,1.55,1.5,2.39
12,Home Farm,Malahide United,3.07,4.1,2,1.765,1.216,1.35,1.832,3.5,1.97,2.41,0,1.57,1.84,1.5,1.93,1.84,2,1.93
13,Kafr Qasim,Hapoel Umm al-Fahm,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Molde,Brann,1.55,3.94,5.91,1.115,1.23,2.37,1.85,4.5,1.95,2,-1+,1.81,1.6,3,2.28,1.6,1.5,2.28
15,Kungsangens IF,Skiljebo,29,22,1.01,12.6,-,-,1.816,5,1.99,1.85,+3.5-,1.95,1.59,0.5,2.29,1.59,4,2.29
16,Juventus+,Real+,2.115,7.32,2.115,1.64,1.06,1.64,1.985,10.5,1.82,1.9,0,1.9,1.86,5.5,1.8,1.86,5.5,1.8
17,Milan (4х4),Tottenham (4х4),1.9,7.05,2.42,1.496,1.064,1.8,1.8,9.5,2.01,1.695,0,2.165,1.88,5,1.92,1.88,4.5,1.92
18,France (3х3),Germany (3x3),2.5,5.23,2.04,1.69,1.125,1.465,1.755,9,2.07,2.115,0,1.725,1.784,4.5,2.03,1.784,4.5,2.03
19,Germany (3x3),Brazil (3x3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Shakery,Skaligery,2.768,2.61,2.97,1.344,1.43,1.39,1.144,6.5,4.2,1.832,0,1.97,1.752,4,2.07,1.752,3.5,2.07
21,MECH,PSY,1.94,5.06,2.712,1.405,1.13,1.768,2.07,5,1.755,1.625,0,2.28,1.73,2.5,2.104,1.73,2,2.104
22,Georgia (3х3),Russia (3x3),-,-,-,-,-,-,-,-,-,1.87,-2+,1.87,-,-,-,-,-,-
0,Rotor Volgograd,Zenit Saint Petersburg,8.5,4.58,1.416,3.02,1.23,1.095,1.92,2.5,1.92,1.775,+1.5-,2.09,1.92,0.5,1.88,1.92,2,1.88
1,Zeljeznicar,Borac Banja Luka,1.73,3.25,5.5,1.13,1.32,2.05,1.685,2,2.18,2.41,-1+,1.57,1.71,1.5,2.08,1.71,0.5,2.08
2,Zorya Luhansk,Dnipro-1,1.25,4.59,19.9,-,1.18,3.74,1.63,3.5,2.28,3.47,-1.5+,1.31,2.66,2.5,1.45,2.66,1.5,1.45
3,Achuapa,Deportivo San Pedro,3.3,3.19,2.27,1.625,1.345,1.33,1.736,2,2.15,2.33,0,1.63,1.63,1,2.22,1.63,1,2.22
4,Levadia U19,Raplamaa JK U19,1.09,9.02,24,-,1.05,6.57,2.21,2.5,1.665,1.69,-1.5+,2.17,2.84,2,1.4,2.84,0.5,1.4
