,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
15,BORUSSIA MONCHENGLADBACH (CARLWHIZZER),WOLVERHAMPTON WANDERERS (QUAVO),2.25,3.05,3.20,1.30,1.33,1.57,-1.5,4.10,+1.5,1.19,6.5,2.30,1.55,+69
16,Braga (Critic),PSV (Miller),2.90,3.95,2.07,1.67,1.20,1.35,+1.5,1.25,-1.5,3.55,3.5,1.60,2.20,+7
17,Dynamo Kyiv (Breezy),CSKA Moscow (Jenko),3.10,3.20,2.25,1.57,1.30,1.32,+1.5,1.17,-1.5,4.40,3.5,1.50,2.40,+61
18,Zvezda Moskva,HK Ryazan,1.15,9.50,11.00,1.02,1.04,5.10,-2.5,1.85,+2.5,1.90,5.5,2.03,1.75,+97
19,Spartak Moscow,Avangard,10.00,4.00,1.40,2.85,1.22,1.03,+1.5,1.70,-1.5,2.10,2.5,1.62,2.25,+116
20,SKA-Neva,Yugra,3.85,3.45,1.93,1.82,1.30,1.25,+1.5,1.35,-1.5,3.10,4.5,2.05,1.75,+166
21,Metallurg Nk,Buran Voronezh,1.45,5.10,5.30,1.12,1.13,2.55,-1.5,1.83,+1.5,1.87,6.5,1.62,2.15,+106
22,Ledovyy Desant,Stalker,4.50,4.50,1.60,2.25,1.18,1.18,+1.5,1.60,-1.5,2.25,7.5,2.15,1.65,+54
23,Mitrakov (D1S) Colorado,Zavgorodny (SPB) Pittsburg,1.16,6.80,14.00,,1.07,4.60,-2.5,1.98,+2.5,1.72,7.5,2.20,1.60,+78
24,Columbus (Yarik_SH),Washington (IanJoe),1.85,3.75,3.65,1.25,1.23,1.85,-1.5,3.00,+1.5,1.35,3.5,2.25,1.58,+99
25,Boston Bruins (Joker),Toronto (nazar4ik99),1.40,4.80,6.40,1.08,1.15,2.75,-1.5,2.02,+1.5,1.70,3.5,1.73,2.00,+85
26,Anadolu Efes (Ash),CSKA Moscow (JoKeR),,,,,,,,,,,,,,
27,TSU-Hyundai Tbilisi (d),Mgzavredi Tbilisi (d),2.55,,1.45,,,,+5.5,1.83,-5.5,1.87,137.5,1.85,1.85,+8
28,Lincoln Un First Team,Tongren C3 Bar Team,3.15,,1.31,,,,+5.5,1.83,-5.5,1.87,108.5,1.85,1.85,+8
29,Minnesota Timberwolves (BoBBY),Sacramento Kings (SLAMDUNKVV),,,,,,,,,,,,,,
30,Indiana Pacers (Stella),San Antonio Spurs (Sphynx),,,,,,,+29.5,1.80,-29.5,1.90,194.5,1.85,1.85,+6
31,Denver Nugget (Lily),Miami Heat (Potter),11.00,,1.01,,,,+20.5,1.80,-20.5,1.90,188.5,1.83,1.87,+6
32,Portland Trail Blazers (Jasmine),Minnesota Timberwolves (Allka),1.20,,4.00,,,,-8.5,1.80,+8.5,1.90,189.5,1.80,1.90,+6
33,New Orleans Pelicans (kapustachempion),Charlotte Hornets (amuralex),2.75,,1.39,,,,+5.5,1.87,-5.5,1.83,110.5,1.80,1.90,+6
34,FTK Tbilisi,Iliauni,2.90,3.90,2.10,1.65,1.21,1.36,0,2.20,0,1.60,5.5,2.10,1.65,+25
35,Orange (w),Tsitron (w),2.75,,1.40,,,,+7.5,1.95,-7.5,1.75,93.5,1.85,1.85,+2
36,Australia (Kisha),Japan (JTD),,,,,,,,,,,,,,
37,Richmond,Gold Cost,,,,,,,-14.5,1.85,+14.5,1.85,,,,
38,CR4ZY,HellRaisers,,,,,,,,,,,,,,
39,K23,SJ,1.04,,8.50,,,,,,,,,,,
40,Neon Esports,For The Dream,,,,,,,,,,,,,,
