,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
0,Belyye Rozy,Ryzhiye Lisy,,,,,,,-2.5,3.05,+2.5,1.33,6.5,1.42,2.65,+14
1,Benev (WCU) Borussia D,Amoyan (EZ1) Atletico M,2.45,3.85,2.45,1.48,1.22,1.48,-1.5,3.85,+1.5,1.22,3.5,1.70,2.02,+109
2,Netherlands (slezaintima),Italy (Foggy),5.50,4.40,1.50,2.40,1.17,1.11,+1.5,1.35,-1.5,3.00,4.5,1.53,2.35,+56
3,Brazil (DangerDim77),England (orlovsky1),3.15,2.15,3.35,1.28,1.62,1.30,-1.5,7.90,+1.5,1.05,1.5,2.15,1.62,+67
4,Bayern (Kodak),RB Leipzig (Boulevard_Pr.),3.50,2.50,2.55,1.45,1.47,1.25,+1.5,1.11,-1.5,5.50,2.5,2.35,1.53,+91
5,Borussia M (Skromnuy),Bayer L (vrico),2.70,2.70,3.00,1.35,1.40,1.40,-1.5,5.40,+1.5,1.12,2.5,2.08,1.65,+92
6,Atletico M (Praym),Valencia (Dimqaa),,,,,,,,,,,,,,
7,REAL SOCIEDAD (GERNAUT),VILLARREAL (FASQER),,,,,,,,,,,,,,
8,ATHLETIC CLUB (CRITIC),GETAFE CF (BOBBY),,,,,,,,,,,,,,
9,Molot-Prikamje,Izhstal,2.20,3.60,3.00,1.35,1.27,1.63,-1.5,3.40,+1.5,1.30,3.5,1.85,1.90,+108
10,Davydov (ILY) Arizona,Ponomarev(4M3)Detroit R.W.,2.00,4.80,2.70,1.40,1.15,1.72,-1.5,2.70,+1.5,1.40,5.5,2.05,1.68,+119
11,Finland (Joker),Russia (nazar4ik99),,,,,,,,,,,,,,
12,Brooklyn Nets (Moana),LA Lakers (Willow),,,,,,,-9.5,2.00,+9.5,1.72,,,,
13,LA Clippers (Ellka),Houston Rockets (Sally),,,,,,,,,,,,,,
14,Dallas Mavericks (Reta),Philadelphia 76 (Readdle),,,,,,,,,,,,,,
15,Portland Trail Blazers (amuralex),Memphis Grizzlies (alex_007_m),8.30,,1.04,,,,+14.5,1.78,-14.5,1.92,125.5,1.80,1.90,+6
16,Ruch Chorzow U19 (w),Pawonkow U19 (w),,,,,,,,,,,,,,
17,BHT Piotrkow Trybunalski U19 (w),SPR Olkusz U19 (w),,,,,,,,,,,,,,
18,Ostrava (w),FAT PIPE Florbal Chodov (w),,,1.05,8.00,,,+2.5,2.07,-2.5,1.67,5.5,2.00,1.72,+27
19,Kralovske Vinohrady 2 (w),Rot-Weis-Rot (w),1.62,4.30,4.30,1.18,1.18,2.15,-1.5,2.40,+1.5,1.50,4.5,1.77,1.93,+25
20,Traverza Mukařov,Orka Celakovice,,,,,,,-3.5,1.62,+3.5,2.15,7.5,1.57,2.25,+24
21,Ireland (JohnnySize),Scotland (Elgy),7.00,20.00,1.09,,,,+17.5,1.80,-17.5,1.90,49.5,1.83,1.87,+20
22,Collingwood,Sydney Swans,1.70,,2.00,,,,-2.5,1.85,+2.5,1.85,112.5,1.85,1.85,+4
23,496 Gaming,Execration,,,,,,,,,,,,,,
24,IG Vitality,black,,,,,,,,,,,,,,
25,DAMWON Gaming,Gen.G,,,,,,,,,,,,,,
0,FC Basel 1893,Eintracht Frankfurt,3.80,3.65,1.95,1.85,1.28,1.27,+1.5,1.33,-1.5,3.35,2.5,2.10,1.75,+270
1,Wolves,Olympiakos Piraeus,1.22,5.80,16.00,1.01,1.14,4.30,-1.5,2.10,+1.5,1.75,2.5,1.93,1.87,+217
2,Wolver-Olymp. Valbuena M,Traore A,10.00,1.27,5.10,1.13,3.40,1.02,0,2.75,0,1.40,0.5,3.05,1.33,+2
3,Lichtenberg 47,Blau-Weiss Friesdorf,,,,,,,+1.5,9.00,-1.5,1.04,6.5,6.10,1.09,+2
4,Lundby IF,Goteborg FF,,,,,,,-3.5,3.05,+3.5,1.33,7.5,1.43,2.60,+7
5,St. John Bosco,Templeogue United,43.00,5.00,1.16,4.60,1.13,,+1.5,1.14,-1.5,5.00,3.5,2.45,1.48,+6
6,St. Mochtas,Home Farm,,,,,,,-4.5,2.45,+4.5,1.48,6.5,2.03,1.70,+7
7,Usher Celtic Senior Team,Rush Athletic,2.60,2.85,2.85,1.37,1.37,1.45,-1.5,5.10,+1.5,1.13,1.5,1.50,2.45,+147
8,St. Francis,Corduff,1.60,4.20,4.60,1.16,1.19,2.20,-1.5,2.55,+1.5,1.45,4.5,1.60,2.20,+39
9,EB/Streymur,KI Klaksvik,,,,,,,+6.5,1.57,-6.5,2.25,6.5,1.95,1.75,+8
